Cluster	Genes
Cluster 102	"MAL13P1.151, PF10_0358, PF14_0470, PFB0130W, PFC0165W, PFE0755C, PFF0385C, PFF0540C, PFF0740C, PFF1125C, PFF1190C, PFF1225C, PFL1355W, PFL1390W, PFL1670C"
Cluster 103	"MAL7P1.139, PF08_0085, PF08_0114, PF11_0280, PF13_0297, PF14_0087, PF14_0128, PF14_0576, PFE0335W, PFI0740C, PFL1830W, PFL2430C"
Cluster 104	"MAL13P1.261, MAL7P1.10, MAL7P1.231, MAL7P1.300, MAL8P1.42, MAL8P1.83, PF07_0045, PF08_0028, PF08_0076, PF10_0073, PF10_0074, PF10_0326, PF11_0156, PF11_0336, PF13_0304, PF14_0070, PF14_0071, PF14_0655, PFC0300C, PFC0465C, PFD0155C, PFD1090C, PFE1055C, PFE1110W, PFF0790C, PFF1050W, PFI0350C, PFI0780W, PFI0825W, PFL0450C, PFL2455W"
Cluster 105	"MAL13P1.274, MAL13P1.289, MAL13P1.352, MAL6P1.201, MAL6P1.254, MAL6P1.257, MAL6P1.270, MAL6P1.73, MAL6P1.86, MAL7P1.120, MAL7P1.122, MAL7P1.16, MAL8P1.19, PF07_0066, PF07_0117, PF10_0294, PF11_0116, PF11_0123, PF11_0200, PF11_0397, PF11_0436, PF11_0526, PF13_0147, PF13_0232, PF13_0245, PF13_0259, PF14_0370, PF14_0478, PF14_0593, PFA0315W, PFB0240W, PFB0555C, PFC0380W, PFC0850C, PFC1011C, PFC1015C, PFD1060W, PFE0100W, PFE0160C, PFE1270C, PFE1390W, PFF1115W, PFF1445C, PFI0480W, PFI0610W, PFI1025W, PFI1060W, PFL0310C, PFL0565W, PFL1235C, PFL1425W"
Cluster 106	"MAL13P1.233, MAL13P1.237, MAL13P1.83, MAL6P1.110, MAL6P1.150, MAL6P1.209, MAL8P1.40, PF08_0074, PF10_0155, PF10_0289, PF11_0096, PF13_0141, PF14_0122, PF14_0378, PF14_0546, PF14_0598, PFB0490C, PFC0975C, PFE0660C, PFE0865C, PFE1035C, PFI1175C, PFI1270W, PFL1420W"
Cluster 107	"MAL13P1.146, PF10_0359, PF11_0226, PF11_0346, PF11_0483, PF13_0029, PF13_0054, PF13_0128, PF13_0357, PF14_0280, PF14_0426, PF14_0705, PFA0455C, PFB0880W, PFE0800W, PFI1100W, PFI1275W, PFL0455C, PFL2340W"
Cluster 108	"MAL13P1.204, MAL13P1.54, MAL6P1.160, MAL6P1.236, MAL6P1.269, MAL7P1.126, MAL7P1.88, MAL8P1.49, MAL8P1.9, PF07_0030, PF07_0073, PF10_0058, PF10_0086, PF10_0104, PF10_0194, PF10_0366, PF11_0170, PF11_0198, PF11_0258, PF13_0017, PF13_0037, PF13_0048, PF13_0087, PF13_0137, PF13_0205, PF13_0300, PF13_0358, PF14_0038, PF14_0223, PF14_0242, PFB0450W, PFC0282W, PFC1000W, PFD0815C, PFE0545C, PFE0595W, PFE0630C, PFE0985W, PFE1020W, PFE1335C, PFI0650C, PFI0685W, PFL0230W, PFL0515W, PFL0705C, PFL1400C, PFL1715W, PFL1845C, PFL2030W, PFL2260W"
Cluster 109	"MAL13P1.59, MAL7P1.58, PFB0115W, PFB0953W, PFD0075W, PFD1140W, PFI1785W"
Cluster 110	"MAL13P1.313, MAL13P1.475, PF08_0002, PF11_0357, PF14_0294, PF14_0631, PF14_0644, PFD1035W, PFE0935C, PFF0175C, PFI0980W"
Cluster 111	"MAL13P1.231, PF08_0032, PF11_0055, PF11_0069, PF11_0099, PF11_0301, PF13_0133, PF13_0331, PF14_0077, PF14_0301, PFI1670C"
Cluster 112	"MAL13P1.116, MAL13P1.144, MAL13P1.172, MAL13P1.26, MAL13P1.349, MAL13P1.35, MAL6P1.107, MAL6P1.83, PF07_0046, PF10_0122, PF10_0299, PF11_0047, PF13_0036, PF13_0053, PF13_0096, PF13_0239, PF13_0323, PF13_0348, PF14_0052, PF14_0221, PF14_0416, PF14_0507, PF14_0520, PF14_0600, PF14_0704, PF14_0713, PFA0495C, PFB0200C, PFE0375W, PFE0515W, PFE1040C, PFE1435C, PFI0285W, PFI0865W, PFI0925W, PFL0380C, PFL1240C, PFL1935C, PFL2125C, PFL2395C"
Cluster 113	"MAL13P1.271, MAL13P1.81, MAL6P1.283, MAL8P1.58, PFL0590C, PFL0950C"
Cluster 114	"MAL6P1.116, PF07_0015, PF10_0175, PF10_0270, PF11_0382, PF14_0116, PFL2535W"
Cluster 115	"MAL6P1.203, PF10_0324, PF11_0088, PF11_0118, PF13_0284, PF14_0457, PFI0985C"
Cluster 116	"MAL13P1.159, MAL13P1.201, MAL13P1.258, MAL7P1.31, MAL8P1.125, MAL8P1.131, MAL8P1.77, PF13_0230, PF14_0609, PFA0275C, PFB0125C, PFB0391C, PFE0295W, PFE0640W, PFF0365C, PFF0370W, PFI1030C, PFI1390W, PFL1185C, PFL1445W"
Cluster 117	"MAL7P1.157A, PF07_0053, PF14_0442, PFE0430W, PFF0410W, PFI1590C"
Cluster 118	"MAL6P1.153, MAL6P1.189, MAL8P1.103, PF13_0065, PF13_0244, PF14_0439, PFC0725C, PFI1260C"
Cluster 119	"MAL13P1.232, MAL13P1.277, MAL7P1.11, MAL8P1.24, PF14_0269, PF14_0403, PFF1360W"
Cluster 120	"MAL13P1.347, PF07_0098, PF10_0210, PF11_0247, PF14_0636, PFF0575C"
Cluster 121	"PF08_0087, PF10_0114, PF11_0232, PF13_0350, PF14_0342, PF14_0499, PFB0710C, PFD0405C, PFE1100W, PFI0935W, PFI1490C, PFL0295C, PFL0980W"
Cluster 122	"MAL13P1.318, MAL6P1.190, MAL6P1.52, MAL6P1.82, PF08_0116, PF10_0029, PF10_0305, PF11_0453, PF14_0645, PFB0545C, PFD0365C, PFE0460C, PFL1475W, PFL2425W"
Cluster 123	"MAL7P1.175, PF13_0022, PF14_0742, PF14_0743, PFI0090C, PFI0765W"
Cluster 124	"MAL13P1.345, PF13_0130, PF13_0227, PFC1025W, PFD0207C, PFI0220W, PFL1020W"
Cluster 125	"MAL13P1.186, MAL7P1.118, PF10_0161, PF10_0208, PF11_0134, PF11_0145, PF11_0400, PF13_0122, PF14_0697, PF14_0715, PFC0390W, PFF0820W, PFF1090C"
Cluster 126	"MAL13P1.58, MAL6P1.290, MAL6P1.51, PF13_0097, PF13_0146, PF13_0206, PF13_0221, PF14_0154, PF14_0454, PFC0070C, PFE0325W, PFI0555C, PFI1150W, PFI1505C"
Cluster 127	"MAL13P1.73, MAL6P1.28, MAL6P1.97, MAL7P1.98, MAL8P1.157, PF10_0173, PF11_0085, PF13_0042, PF13_0334, PFD0565C, PFD0835C, PFE1155C, PFE1160W, PFI1745C, PFL1310C, PFL2440W"
Cluster 128	"MAL7P1.117, PF11_0120, PF11_0303, PF11_0408, PF13_0290, PF14_0026, PF14_0123, PFD1040W, PFE0870W, PFE1210C, PFF1105C"
Cluster 129	"MAL13P1.294, MAL6P1.141, MAL7P1.104, PF07_0085, PF08_0084, PF08_0110, PF10_0106, PF10_0109, PF10_0130, PF10_0198, PF11_0203, PF11_0428, PF13_0094, PF13_0240, PF13_0273, PF14_0023, PF14_0057, PF14_0398, PF14_0490, PF14_0656, PF14_0657, PFA0185W, PFA0580C, PFB0560W, PFB0745W, PFC0785C, PFF0395C, PFF0920C, PFF0945C, PFF1330C, PFI0330C, PFI1385C, PFI1795C, PFL0570C, PFL1130C, PFL1535W, PFL1680W, PFL2200W, PFL2230C"
Cluster 130	"MAL6P1.91, PF07_0129, PF10_0016, PF10_0121, PF11_0292, PF11_0506, PF11_0507, PF11_0508, PF11_0511, PF14_0014, PF14_0097, PFA0160C, PFA0630C, PFD0090C, PFE0040C, PFF0435W, PFL0050C"
Cluster 131	"MAL13P1.82, PF10_0027, PF10_0377, PF11_0113, PF14_0340, PF14_0441, PF14_0466, PFC0905C, PFE1090W, PFI0790W, PFL0710W, PFL2020C"
Cluster 132	"MAL6P1.202, PF07_0070, PF07_0102, PF08_0018, PF11_0036, PF13_0207, PF14_0147, PF14_0308, PF14_0399, PF14_0410, PF14_0489, PF14_0668, PFB0495W, PFB0610C, PFE0635C, PFE1075C, PFF0120W, PFF0465C, PFI0430C, PFI0835C, PFI1645C, PFL0255C, PFL1635W"
Cluster 133	"MAL13P1.234, MAL13P1.540, MAL7P1.19, PF11_0487, PF13_0034, PF14_0058, PF14_0175, PF14_0649, PF14_0790, PFD0840W, PFD0965W, PFE0750C"
Cluster 134	"MAL13P1.25, MAL6P1.211, MAL6P1.266, PF08_0051, PF08_0098, PF10_0315, PF10_0320, PF13_0031, PF13_0183, PF14_0297, PF14_0413, PF14_0534, PFD0755C, PFI0086W, PFL2170C"
Cluster 135	"MAL13P1.485, MAL7P1.127, MAL7P1.138, PF10_0182, PF11_0276, PF14_0755, PF14_0756, PFC0265C, PFC0530W, PFF1250W, PFI0260C, PFI1135C"
Cluster 136	"MAL8P1.148, PF08_0097, PF10_0258, PF11_0372, PF11_0525, PF13_0220, PF14_0227, PF14_0737"
Cluster 137	"MAL13P1.236, MAL13P1.300, MAL6P1.231, MAL7P1.38, MAL8P1.51, PF08_0095, PF10_0070, PF10_0214, PF10_0310, PF11_0058, PF11_0285, PF11_0309, PF13_0098, PF13_0099, PF13_0222, PF13_0235, PF14_0126, PF14_0266, PF14_0267, PF14_0273, PF14_0279, PF14_0315, PF14_0377, PF14_0650, PF14_0674, PF14_0719, PFA0430C, PFC1030W, PFD0225W, PFD0540C, PFD0890W, PFE0110W, PFE0330W, PFE0560C, PFE0585C, PFE0590W, PFE0790C, PFF0115C, PFF1415C, PFI0670W, PFL1070C, PFL1745C, PFL1790W"
Cluster 138	"MAL8P1.26, PF13_0101, PF14_0037, PF14_0544, PFB0888W, PFL1640C"
Cluster 139	"MAL7P1.131, MAL8P1.10, PF11_0100, PF11_0455, PF13_0088, PFE0275W, PFF1085C"
Cluster 140	"MAL13P1.112, MAL13P1.184, MAL13P1.465, MAL6P1.123, MAL6P1.154, MAL6P1.45, MAL7P1.37, MAL7P1.83, PF08_0034, PF10_0108, PF10_0153, PF11_0295, PF11_0319, PF13_0118, PF14_0096, PF14_0329, PF14_0354, PF14_0381, PFC0800W, PFE0980C, PFE1000C, PFI0570W, PFL0770W, PFL1210W, PFL1275C, PFL1585C, PFL2365W"
Cluster 141	"MAL13P1.110, MAL13P1.255, MAL13P1.295, MAL13P1.31, MAL13P1.332, MAL13P1.72, MAL6P1.134, MAL6P1.140, MAL6P1.306, MAL8P1.32, MAL8P1.86, PF07_0125, PF08_0029, PF08_0063, PF08_0078, PF08_0131, PF10_0047, PF10_0075, PF10_0284, PF10_0286, PF10_0363, PF11_0049, PF11_0059, PF11_0074, PF11_0077, PF11_0130, PF11_0317, PF11_0385, PF11_0432, PF13_0021, PF13_0071, PF13_0180, PF13_0191, PF13_0241, PF13_0345, PF14_0051, PF14_0152, PF14_0186, PF14_0200, PF14_0338, PF14_0387, PF14_0455, PF14_0502, PFA0255C, PFA0395C, PFA0510W, PFA0590W, PFB0205C, PFC0175W, PFE0475W, PFE0905W, PFE0955W, PFE1295C, PFE1520C, PFI0085C, PFI0295C, PFI0795W, PFL0415W, PFL0490C, PFL1140W, PFL1150C, PFL1155W, PFL1545C, PFL2130W"
Cluster 142	"MAL7P1.201, MAL8P1.37, MAL8P1.80, PF11_0079, PFB0215C, PFE0130C, PFF0685C, PFF1380C, PFI0505C, PFL0690C, PFL1205C, PFL1795C, PFL2350C"
Cluster 143	"MAL8P1.162, PF08_0025, PF08_0052, PF10_0167, PF10_0185, PF10_0240, PF10_0288, PF10_0338, PF11_0271, PF11_0326, PF13_0069, PF14_0199, PF14_0312, PF14_0371, PF14_0483, PF14_0513, PFA0240W, PFA0385W, PFA0715C, PFB0425C, PFB0950W, PFD0620C, PFE0805W, PFE1060C, PFF0870W, PFI0115C, PFI0615W, PFI1250W, PFL2135C"
Cluster 144	"MAL13P1.290, MAL13P1.314, PF07_0100, PF14_0041, PF14_0103, PF14_0503, PFD0465W, PFF1275C"
Cluster 145	"MAL13P1.107, MAL13P1.192, MAL13P1.48, MAL13P1.57, MAL6P1.43, MAL8P1.124, PF14_0349, PF14_0535, PF14_0727, PFC0610C, PFC0645W, PFD0290W"
Cluster 146	"MAL7P1.152, MAL8P1.102, PF11_0414, PF11_0434, PF14_0180, PF14_0382, PF14_0509, PFB0886C, PFE0620C, PFF0950W, PFF1265W, PFI0130C, PFI1190W, PFL2445C"
Cluster 147	"MAL6P1.49, PF08_0011, PF08_0067, PF10_0199, PF14_0217, PF14_0529, PFB0470W, PFB0820C, PFC0230C, PFC1055W, PFE0105C, PFE0740C, PFE1015C, PFI0095C, PFI0585C, PFL0575W, PFL0640W, PFL1590C"
Cluster 148	"PF11_0136, PF13_0226, PFD0872W, PFF0080C, PFF1505W, PFI0460W"
Cluster 149	"MAL7P1.163, PF10_0110, PF14_0029, PF14_0047, PF14_0073, PF14_0285, PFD0010W, PFD0685C, PFI0340C, PFL1360C"
Cluster 150	"MAL13P1.326, MAL7P1.107, PF08_0089, PF11_0374, PF13_0186, PF14_0115, PF14_0283, PFD0655C, PFF1290C, PFI0490C"
Cluster 151	"MAL13P1.183, MAL13P1.346, PF08_0038, PF10_0313, PF11_0282, PF11_0560, PF14_0526, PF14_0592, PFA0425C, PFC10_API0012, PFE0695W, PFF0495W, PFI1195C, PFI1330C, PFL1650W, PFL2035C"
Cluster 152	"MAL13P1.270, MAL13P1.337, MAL6P1.136, MAL6P1.78, MAL8P1.128, PF08_0059, PF08_0071, PF13_0243, PF13_0282, PF13_0294, PF13_0322, PF13_0335, PF14_0276, PF14_0393, PF14_0571, PF14_0716, PFC0271C, PFC0440C, PFI1310W, PFI1625C, PFL0105W"
Cluster 153	"MAL13P1.75, MAL7P1.159, MAL8P1.100, MAL8P1.21, PF07_0022, PF10_0125, PF11_0306, PF11_0403, PF13_0200, PF14_0709, PFA0270C, PFB0605W, PFB0850C, PFD0550C, PFE0715W, PFE1480C, PFF0195C, PFF0205W, PFF0235C, PFF1045W, PFI0655C, PFI0750C, PFI1410C, PFI1415W, PFL1100W, PFL1280W, PFL1605W, PFL1660C, PFL1985C, PFL2175W, PFL2485C"
Cluster 154	"MAL8P1.161, PF13_0307, PF14_0095, PF14_0740, PF14_0741, PFF1425W"
Cluster 155	"MAL13P1.181, MAL13P1.325, MAL13P1.46, MAL8P1.35, PF08_0046, PF11_0228, PF14_0114, PF14_0568, PF14_0711, PFC0790W, PFD0925W, PFF1075W, PFI0760W, PFI1045W, PFI1055W, PFL0605C"
Cluster 156	"MAL6P1.205, PF10_0064, PF10_0252, PF11_0075, PF14_0161, PF14_0497, PF14_0602, PFC0506W, PFC0715C, PFF0155W, PFL1040W, PFL1920C"
Cluster 157	"MAL13P1.162, MAL13P1.338, MAL13P1.50, MAL6P1.85, PF07_0036, PF07_0057, PF10_0066, PF13_0059, PF14_0646, PFA0685C, PFD1095W, PFI1610C, PFL0225C"
Cluster 158	"MAL13P1.13, MAL13P1.216, MAL13P1.87, MAL7P1.147, MAL8P1.31, PF10_0090, PF10_0321, PF13_0020, PF14_0101, PF14_0282, PF14_0639, PFE0505W, PFE0925C, PFE1082C, PFE1500C, PFI1120C, PFI1425W, PFI1640C, PFL1620W"
Cluster 159	"MAL13P1.142, MAL13P1.343, MAL13P1.580, MAL8P1.15, PF10_0051, PF10_0057, PF11_0197, PF13_0242, PF14_0181, PF14_0232, PF14_0253, PF14_0417, PF14_0783, PFA0450C, PFA0575C, PFB0180W, PFB0257C, PFB0420W, PFE0150C, PFE0195W, PFE0410W, PFE0445C, PFE1080W, PFI0235W, PFI0830C, PFI0910W, PFL0485W, PFL0960W, PFL1775C"
Cluster 160	"MAL6P1.192, MAL6P1.27, MAL8P1.74, PF07_0047, PF08_0080, PF08_0101, PF10_0026, PF10_0052, PF10_0118, PF10_0233, PF11_0129, PF13_0077, PF14_0564, PFB0855C, PFC0490W, PFI0960W, PFL2240W"
Cluster 161	"MAL7P1.94, PF10_0317, PFC0330W, PFC0955W, PFE0520C, PFL2245W"
Cluster 162	"PF07_0010, PF13_0192, PFC0170C, PFC10_API0043, PFD0690C"
Cluster 163	"MAL7P1.129, PF11_0078, PF14_0081, PF14_0643, PFD1015W, PFE0600C, PFF1015W, PFL1120C, PFL2025W"
Cluster 164	"MAL7P1.67, PF07_0110, PF11_0244, PF14_0699, PFD0165W, PFF0165C, PFI0225W, PFL0340W"
Cluster 165	"MAL13P1.138, MAL13P1.200, MAL7P1.203B, MAL7P1.25, PF07_0075, PF10_0259, PF11_0044, PF11_0427, PF11_0466, PF13_0274, PF14_0167, PF14_0317, PFC0360W, PFC0575W, PFE1330C, PFF0245W, PFF1395C, PFF1400W, PFI0810C, PFL0610W, PFL1255C, PFL1455W"
Cluster 166	"MAL13P1.113, MAL13P1.15, MAL13P1.40, MAL13P1.67, MAL6P1.188, MAL6P1.258, MAL6P1.42, MAL6P1.61, MAL7P1.157, MAL8P1.107, PF10_0092, PF10_0213, PF11_0112, PF11_0339, PF13_0016, PF13_0131, PF14_0257, PF14_0386, PF14_0658, PF14_0666, PFA0180W, PFA0460C, PFB0460C, PFC0550W, PFC0845C, PFD0280W, PFI0280C, PFI0380C, PFI1185C, PFL0280C"
Cluster 167	"PF08_0020, PF10_0298, PF11_0184, PF13_0142, PF14_0277, PF14_0540, PFA0310C, PFC0140C, PFE1050W, PFE1350C, PFF0330W, PFF0560C, PFF0745C, PFI0328C, PFI1700C, PFL0620C, PFL0930W, PFL1245W"
Cluster 168	"MAL13P1.291, MAL7P1.340, PF11_0352, PF11_0524, PF13_0082, PF13_0279, PF14_0050, PFE0140C, PFL0623C"
Cluster 169	"MAL13P1.117, PF13_0236, PF13_0265, PF14_0501, PFF0760W"
Cluster 170	"MAL13P1.134, MAL13P1.218, MAL13P1.311, MAL6P1.103, MAL6P1.159, MAL6P1.233, MAL6P1.53, MAL6P1.75, MAL6P1.76, MAL7P1.91, MAL8P1.75, PF07_0062, PF10_0030, PF10_0235, PF10_0243, PF11_0153, PF11_0181, PF11_0323, PF11_0366, PF11_0368, PF11_0406, PF13_0080, PF13_0112, PF13_0139, PF13_0218, PF14_0061, PF14_0112, PF14_0255, PF14_0305, PF14_0430, PF14_0451, PF14_0720, PFA0140C, PFA0390W, PFB0800C, PFC0095C, PFC0205C, PFD0335C, PFD0600C, PFD0830W, PFE0190C, PFE1065W, PFE1560C, PFI0640C, PFI1245C, PFL0205W, PFL0395C, PFL0775W"
Cluster 171	"MAL13P1.164, MAL13P1.47, MAL13P1.74, MAL6P1.139, MAL6P1.199, MAL6P1.278, MAL6P1.35, MAL6P1.40, MAL6P1.50, MAL7P1.106, MAL7P1.110, MAL7P1.33, MAL8P1.113, MAL8P1.34, PF07_0064, PF07_0068, PF10_0253, PF10_0260, PF11_0117, PF11_0128, PF11_0215, PF11_0216, PF11_0248, PF13_0134, PF14_0053, PF14_0064, PF14_0166, PF14_0192, PF14_0289, PF14_0345, PF14_0462, PF14_0484, PF14_0538, PFA0350C, PFB0600C, PFC0340W, PFC0525C, PFC0912W, PFC0915W, PFC0950C, PFD0470C, PFD0990W, PFE0270C, PFE0345C, PFE0675C, PFI1440W, PFL0435W, PFL1895W, PFL2005W, PFL2180W"
Cluster 172	"MAL8P1.121, PF08_0043, PF10_0078, PF10_0174, PF13_0356, PF14_0237, PFB0380C, PFB0540W, PFC0255C, PFC0520W, PFD0680C, PFE1395C, PFF0445W, PFF0905W"
Cluster 173	"MAL13P1.298, MAL13P1.321, MAL13P1.329, MAL13P1.330, PF13_0324, PFL1415W, PFL2220W"
Cluster 174	"PF10_0017, PF13_0321, PFC10_API0060, PFE0855C, PFF1140C"
Cluster 175	"MAL7P1.79, MAL8P1.25A, PF10_0239, PF13_0264, PF14_0332, PF14_0424, PF14_0680, PFE0310C, PFE0690C, PFE1275C, PFF0550W, PFF0910C, PFF1150W, PFI1835C, PFL0820C"
Cluster 176	"MAL13P1.160, MAL13P1.161, MAL13P1.266, MAL6P1.232, MAL6P1.77, MAL6P1.88, MAL8P1.123, PF07_0012, PF08_0031, PF10_0045, PF13_0140, PF13_0182, PF13_0199, PF14_0088, PF14_0254, PF14_0412, PF14_0493, PF14_0642, PF14_0679, PFC0225C, PFC0670C, PFC0770C, PFD0145C, PFD0780W, PFE0765W, PFI0155C, PFI0605C, PFL0835W, PFL1135C"
Cluster 177	"MAL13P1.69, MAL13P1.89, MAL6P1.171, MAL6P1.241, MAL6P1.87, MAL7P1.74, PF07_0119, PF10_0035, PF11_0087, PF13_0337, PFB0810W, PFC0415C, PFC0886W, PFD0980W, PFF0520W, PFI1460C, PFL0180W, PFL0660W, PFL0750W, PFL1060C, PFL1555W, PFL1630C, PFL2465C"
Cluster 178	"MAL13P1.239, MAL13P1.279, MAL13P1.95, MAL7P1.149, MAL7P1.177, MAL7P1.23, MAL8P1.50, PF07_0039, PF08_0093, PF08_0125, PF10_0105, PF10_0246, PF10_0409, PF11_0182, PF11_0219, PF11_0337, PF11_0451, PF13_0026, PF13_0061, PF14_0153, PF14_0414, PF14_0787, PF14_0810, PFA0150C, PFB0250W, PFB0501C, PFB0520W, PFB0645C, PFC0765C, PFD0325W, PFD0466C, PFD0487C, PFE1175W, PFE1280W, PFE1460W, PFF0150C, PFF0545C, PFF0765C, PFF0960C, PFF0980W, PFI1065C, PFI1155W, PFI1660W, PFL0680C, PFL1725W, PFL2115C"
Cluster 179	"MAL13P1.180, MAL13P1.262, MAL6P1.267, MAL6P1.288, PF07_0114, PF10_0032, PF10_0065, PF11_0333, PF13_0237, PF13_0254, PF13_0359, PF14_0252, PF14_0300, PF14_0310, PF14_0447, PF14_0471, PFA0195W, PFB0185W, PFD0865C, PFE0645W, PFE1375C, PFI1000W, PFI1265W, PFI1500W, PFL0285W, PFL0445W, PFL1075W, PFL1740W"
Cluster 180	"MAL13P1.105, MAL13P1.16, MAL13P1.281, MAL13P1.319, MAL13P1.320, MAL6P1.115, MAL6P1.185, MAL6P1.187, MAL6P1.224, MAL6P1.273, MAL6P1.34, MAL7P1.111, MAL7P1.114, MAL7P1.160, MAL7P1.77, MAL8P1.14, MAL8P1.140, MAL8P1.18, MAL8P1.20, MAL8P1.85, PF07_0042, PF07_0087, PF07_0120, PF10_0154, PF10_0221, PF10_0241, PF10_0291, PF10_0362, PF10_0379, PF11_0124, PF11_0154, PF13_0117, PF13_0217, PF14_0169, PF14_0268, PF14_0318, PF14_0347, PF14_0348, PF14_0394, PF14_0397, PFB0385W, PFB0390W, PFB0530C, PFB0535W, PFC0416W, PFC0571C, PFC0590C, PFC0630W, PFD0915W, PFD0920W, PFE1045C, PFE1450C, PFF1245C, PFI0305C, PFI1050C, PFI1315C, PFI1430W, PFI1585C, PFL0400W, PFL0595C, PFL0600W, PFL1540C, PFL1925W, PFL2045W"
Cluster 181	"MAL13P1.269, MAL13P1.336, MAL6P1.131, MAL6P1.237, MAL6P1.272, MAL6P1.70, MAL7P1.146, PF07_0018, PF07_0058, PF08_0086, PF10_0319, PF11_0252, PF13_0089, PF14_0229, PF14_0350, PF14_0569, PFL1645W"
Cluster 182	"MAL13P1.229, MAL13P1.303, MAL6P1.137, MAL6P1.167, MAL6P1.182, MAL6P1.305, MAL7P1.30, MAL7P1.66, MAL7P1.75, PF07_0063, PF10_0316, PF10_0334, PF11_0054, PF11_0425, PF11_0459, PF13_0032, PF13_0043, PF13_0068, PF13_0121, PF13_0349, PF14_0331, PF14_0570, PF14_0601, PF14_0641, PF14_0696, PF14_0721, PFA0250W, PFB0465C, PFB0500C, PFB0895C, PFC0995C, PFC1035W, PFD0440W, PFD0670C, PFD0850C, PFE0490W, PFE1025C, PFE1510C, PFF0180W, PFI0135C, PFI0990C, PFI1170C, PFI1620C, PFL1915W, PFL2415W"
Cluster 183	"MAL13P1.131, MAL13P1.196, MAL13P1.64, MAL6P1.108, MAL7P1.93, MAL8P1.98, MAL8P1.99, PF11_0365, PF11_0423, PF11_0485, PF13_0149, PF14_0356, PF14_0597, PF14_0606, PFC0281W, PFC0505C, PFD0475C, PFE0970W, PFI0485C, PFL0120C, PFL0615W, PFL0735W, PFL0875W, PFL1655C, PFL1720W"
Cluster 184	"MAL13P1.178, MAL13P1.304, MAL13P1.34, PF10_0148, PF13_0135, PF13_0362, PFC1060C, PFD1115C, PFF0925W"
Cluster 185	"PF13_0052, PF14_0019, PF14_0385, PF14_0611, PFC1010W, PFL0425C"
Cluster 186	"PF11_0273, PF11_0440, PF11_0527, PF14_0111, PFF0455W, PFL0095C"
Cluster 187	"MAL13P1.250, MAL13P1.90, MAL8P1.11, PF07_0081, PF08_0010, PF10_0412, PF13_0151, PF14_0060, PF14_0176, PFA0400C, PFF0400W"
Cluster 188	"MAL13P1.365, PF07_0112, PF10_0111, PF11_0187, PF14_0025, PF14_0137, PF14_0545, PF14_0676, PF14_0778, PFB0687C, PFC0890W, PFD0665C, PFD0895C, PFE0280C, PFE0290C, PFE0380C, PFI1515W, PFL1115W"
Cluster 189	"MAL13P1.19, PF07_0113, PF10_0165, PF11_0159, PF11_0413, PF13_0126, PF13_0231, PF13_0361, PF14_0249, PF14_0270, PF14_0376, PF14_0613, PF14_0665, PFA0545C, PFB0840W, PFB0890C, PFD0805W, PFE0215W, PFE0830C, PFF0935C, PFF1080W, PFF1165C, PFF1175C, PFI0145W"
Cluster 190	"MAL13P1.351, MAL13P1.39, MAL8P1.139, PF07_0082, PF07_0086, PF07_0111, PF08_0112, PF10_0031, PF10_0309, PF10_0331, PF11_0308, PF13_0333, PF14_0049, PF14_0278, PF14_0461, PFA0405W, PFC0335C, PFE0095C, PFE0250W, PFE0710W, PFF1485W, PFI0200C, PFI0495W, PFI1525W, PFL0250W, PFL2435W"
Cluster 191	"MAL6P1.130, MAL6P1.33, MAL7P1.133, MAL8P1.65, PF10_0124, PF10_0136, PF10_0215, PF11_0350, PF14_0084, PF14_0372, PFD0250C, PFI0290C, PFL1080C, PFL1760W"
Cluster 192	"MAL6P1.47, PF11_0355, PF14_0306, PF14_0309, PFB0725C, PFC0911C, PFE0775C, PFE1455W, PFI0400C, PFI1395W, PFI1705W, PFL0090C, PFL1860C, PFL2070W"
Cluster 193	"MAL13P1.33, MAL6P1.226, MAL6P1.259, MAL8P1.55, PF07_0109, PF10_0040, PF10_0152, PF10_0227, PF10_0333, PF11_0297, PF14_0446, PF14_0582, PFD1080W, PFL1875W"
Cluster 194	"MAL6P1.212, MAL8P1.110, PF11_0210, PF14_0063, PF14_0304, PF14_0581, PFB0365W, PFC0210C, PFD0735C, PFE0265C, PFF0640W, PFI1365W, PFL0495C, PFL2185W"
Cluster 195	"MAL13P1.210, MAL13P1.282, MAL13P1.41, MAL8P1.30, PF10_0069, PF10_0234, PF10_0238, PF11_0125, PF11_0233, PF11_0288, PF11_0360, PF11_0361, PF11_0550, PF13_0306, PF13_0317, PF14_0177B, PF14_0189, PF14_0379, PF14_0415, PF14_0791, PFA0175W, PFA0350W, PFA0355W, PFB0580W, PFC0125W, PFC0126C, PFD0692C, PFF0225W, PFF0360W, PFF0390W, PFF0415C, PFF0630C, PFF0900C, PFF1320C, PFI0300W, PFI1160W, PFI1587C, PFL0360C, PFL0500W, PFL0965C, PFL1035W, PFL1465C, PFL2040W, PFL2078W"
