Cluster	Genes
Cluster 32	"MAL13P1.97, MAL7P1.105, PF08_0005, PF10_0371, PF11_0080, PF11_0363, PF14_0179, PF14_0355, PF14_0562, PF14_0722, PF14_0729, PFB0690W, PFB0951W, PFB0965C, PFE0615W, PFF0280W, PFF1130C, PFL0955C, PFL2080C, PFL2270W"
Cluster 33	"MAL6P1.111, MAL7P1.164, MAL8P1.57, PF11_0359, PF11_0419, PF14_0406, PF14_0475, PFB0410C, PFB0826C, PFI0870W, PFL1350W, PFL1905W"
Cluster 34	"MAL6P1.146, PF11_0396, PF14_0390, PFB0640C, PFD0950W, PFI0930C"
Cluster 35	"MAL8P1.76, PF10_0061, PF14_0459, PF14_0522, PFD0910W, PFE0315C, PFE0890C"
Cluster 36	"MAL13P1.12, MAL13P1.212, MAL13P1.238, MAL13P1.245, MAL13P1.246, MAL13P1.340, MAL13P1.85, MAL8P1.28, PF07_0028, PF07_0031, PF07_0089, PF10_0044, PF10_0088, PF10_0229, PF10_0261, PF11_0063, PF11_0178, PF11_0421, PF13_0038, PF13_0093, PF13_0247, PF13_0248, PF14_0067, PF14_0074, PF14_0099, PF14_0195, PF14_0263, PF14_0330, PF14_0367, PF14_0418, PF14_0438, PF14_0452, PF14_0467, PF14_0508, PF14_0573, PF14_0623, PFA0675W, PFB0505C, PFC0305W, PFC0460W, PFC0540W, PFC0685W, PFE0125W, PFE0540W, PFE1525W, PFF0275C, PFF1215W, PFI0435C, PFI0955W, PFI1285W, PFI1535W, PFL0370W, PFL0755C, PFL0805W, PFL1770C, PFL2190C"
Cluster 37	"PF08_0137, PF10_0028, PF10_0293, PF11_0108, PF11_0191, PF11_0291, PF13_0018, PF14_0094, PF14_0565, PFB0875C, PFD0085C, PFD0115C, PFD0450C, PFD0455W, PFD0975W, PFF0220W, PFL0185C, PFL0290W, PFL0675C, PFL0855C, PFL1560C, PFL1705W, PFL2015W"
Cluster 38	"MAL13P1.360, MAL13P1.413, MAL13P1.480, MAL13P1.61, PF10_0019, PF11_0205, PF11_0505, PF13_0056, PF13_0276, PF13_0346, PF14_0621, PFB0194W, PFF1450W, PFI1735C, PFI1740C, PFL1410C"
Cluster 39	"MAL6P1.276, MAL7P1.158, MAL7P1.81, PF10_0128, PF14_0449, PF14_0464, PFI1115C, PFL0140W, PFL0155C, PFL0160W"
Cluster 40	"MAL13P1.256, MAL13P1.395, MAL8P1.36, PF13_0271, PF14_0259, PF14_0432, PF14_0440, PFB0090C, PFB0620W, PFC0065C, PFF1230C"
Cluster 41	"PFA0660W, PFB0990C, PFC1090W, PFF0055W, PFF1535W, PFI0110C"
Cluster 42	"MAL13P1.80, MAL8P1.200, MAL8P1.95, PF11_0224, PF11_0302, PF14_0344, PF14_0614, PFA0410W, PFC0875W, PFE0385W, PFE0465C, PFF1430C, PFI1510W, PFL1055C"
Cluster 43	"MAL13P1.24, MAL13P1.251, MAL6P1.21, MAL8P1.130, PFA0435W, PFE0170C, PFL2065C"
Cluster 44	"PF11_0038, PF14_0735, PF14_0744, PF14_0745, PF14_0748, PF14_0751, PFF0580W"
Cluster 45	"MAL6P1.100, PF07_0107, PF10_0244, PF11_0504, PF14_0374, PF14_0594, PFC0060C, PFC0425W, PFI1725W, PFL1835W"
Cluster 46	"MAL13P1.115, MAL8P1.108, PF11_0121, PF13_0342, PFB0160W, PFF0505C, PFF1385C, PFL1595W, PFL2235W"
Cluster 47	"MAL13P1.206, MAL8P1.141, PF08_0044, PF08_0053, PF08_0069, PF11_0452, PF13_0339, PFC0445W, PFC0450W, PFD0345C, PFF0635W, PFI0250C"
Cluster 48	"PF10_0390, PF11_0345, PFA0065W, PFA0680C, PFB0985C"
Cluster 49	"MAL13P1.127, MAL13P1.312, MAL13P1.316, MAL7P1.339, MAL8P1.25, PF08_0017, PF08_0024, PF10_0195, PF10_0303, PF11_0046, PF11_0307, PF11_0431, PF11_0460, PF11_0481, PF11_0540, PF13_0123, PF13_0314, PF14_0039, PF14_0210, PF14_0532, PF14_0683, PF14_0684, PF14_0685, PF14_0792, PFA0490W, PFB0730W, PFC0495W, PFC0895W, PFD0580C, PFE0115C, PFE0530W, PFE0945C, PFF0380W, PFF0605C, PFF1010C, PFF1170W, PFI0205W, PFI0560C, PFI0775W, PFI0995W, PFI1465W, PFL0325W, PFL0385C, PFL0510C, PFL0715W, PFL1095C, PFL2320W, PFL2405C, PFL2420W"
Cluster 50	"MAL6P1.172, PF10_0169, PF11_0269, PF11_0503, PF13_0275, PFD0545W, PFI0125C, PFL0780W"
Cluster 51	"PF10_0378, PF11_0230, PF11_0246, PFD0730W, PFL1530W"
